,0
0,"耿仕奎,""耿仕奎"""
1,"耿仕奎,""耿仕奎"""
2,"温缘,""马晓晴-"""
3,"温缘,""马晓晴-"""
4,"Nicole丹丹,""马晓晴-"""
5,"Nicole丹丹,""马晓晴-"""
6,"王泓舒,""马晓晴-"""
7,"王泓舒,""马晓晴-"""
8,"mooc15911345910950217,""马晓晴-"""
9,"mooc15911345910950217,""马晓晴-"""
10,"yyqxqw,""马晓晴-"""
11,"yyqxqw,""马晓晴-"""
12,"初九加油,""马晓晴-"""
13,"初九加油,""马晓晴-"""
14,"mooc59535341542682553,""马晓晴-"""
15,"mooc59535341542682553,""马晓晴-"""
16,"mooc59535341542682553,""马晓晴-"""
17,"免师一班刘湘萍,""马晓晴-"""
18,"免师一班刘湘萍,""马晓晴-"""
19,"免师一班刘湘萍,""马晓晴-"""
20,"免师一班刘湘萍,""马晓晴-"""
21,"免师一班刘湘萍,""马晓晴-"""
22,"周暴雨,""马晓晴-"""
23,"周暴雨,""马晓晴-"""
24,"新乡县朗公庙中心学校李娟,""马晓晴-"""
25,"新乡县朗公庙中心学校李娟,""马晓晴-"""
26,"HJmooc11582375441152,""马晓晴-"""
27,"HJmooc11582375441152,""马晓晴-"""
28,"冯潇ff,""马晓晴-"""
29,"冯潇ff,""马晓晴-"""
30,"maomooc11589869144952,""马晓晴-"""
31,"maomooc11589869144952,""马晓晴-"""
32,"mooc49652898386664427,""马晓晴-"""
33,"mooc49652898386664427,""马晓晴-"""
34,"yyqxqw,""杨能素"""
35,"yyqxqw,""杨能素"""
36,"初九加油,""杨能素"""
37,"初九加油,""杨能素"""
38,"mooc59535341542682553,""杨能素"""
39,"mooc59535341542682553,""杨能素"""
40,"寰球食货,""杨能素"""
41,"寰球食货,""杨能素"""
42,"去搜,""杨能素"""
43,"去搜,""杨能素"""
44,"王泓舒,""杨能素"""
45,"王泓舒,""杨能素"""
46,"mooc15806323735120610,""杨能素"""
47,"mooc15806323735120610,""杨能素"""
48,"Penny月,""杨能素"""
49,"夜去风吹mooc11582373657829,""杨能素"""
50,"夜去风吹mooc11582373657829,""杨能素"""
51,"Octoberwmooc,""杨能素"""
52,"Octoberwmooc,""杨能素"""
53,"Forget57,""杨能素"""
54,"Forget57,""杨能素"""
55,"王泓舒,""杨能素"""
56,"王泓舒,""杨能素"""
57,"mooc15911345910950217,""杨能素"""
58,"mooc15911345910950217,""杨能素"""
59,"yyqxqw,""杨能素"""
60,"yyqxqw,""杨能素"""
61,"初九加油,""杨能素"""
62,"初九加油,""杨能素"""
63,"mooc59535341542682553,""杨能素"""
64,"周暴雨,""杨能素"""
65,"周暴雨,""杨能素"""
66,"新乡县朗公庙中心学校李娟,""杨能素"""
67,"新乡县朗公庙中心学校李娟,""杨能素"""
68,"冯潇ff,""杨能素"""
69,"冯潇ff,""杨能素"""
70,"mooc16692882833397409,""SzxnzS"""
71,"mooc16692882833397409,""SzxnzS"""
72,"张本选135987,""SzxnzS"""
73,"张本选135987,""SzxnzS"""
74,"姜磊8,""SzxnzS"""
75,"mooc16692882833397409,""嗨男孩"""
76,"mooc16692882833397409,""嗨男孩"""
