Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,clustering,eigencentrality,componentnumber,strongcompnum
"花泽菠菜mooc",花泽菠菜mooc,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,52
wkovacs,wkovacs,,1,2,3,1,3,4,1,1,1,3.1875,5,0.002024,0,0.146426,1,51
mooc76373888492404684,mooc76373888492404684,,3,1,4,7,1,8,3,0.5,0.537037,2.25,3,0.00377,0.333333,0.217185,1,50
"惊蛰0",惊蛰0,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,48
"我意南风",我意南风,,2,0,2,3,0,3,0,0,0,0,10,0.002799,0,0.149914,1,47
mooc41541050290505302,mooc41541050290505302,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,46
"临床五年类180216余琬嵘",临床五年类180216余琬嵘,,1,0,1,2,0,2,0,0,0,0,3,0.002024,0,0.146426,1,45
mooc64473410001217051,mooc64473410001217051,,2,4,6,4,13,17,1,1,1,6.008929,13,0.002024,0.2,0.19052,1,32
zjj95598,zjj95598,,1,0,1,2,0,2,0,0,0,0,3,0.002024,0,0.146426,1,44
Panzerleader,Panzerleader,,0,3,3,0,6,6,2,0.8,0.875,0,13,0.001803,0.166667,0,1,134
"我要上哈佛大学",我要上哈佛大学,,2,1,3,3,2,5,0,0,0,0,3,0.002024,0.5,0.19052,1,41
"应景归尘",应景归尘,,1,2,3,1,5,6,1,1,1,3.633929,13,0.002024,0,0.146426,1,40
jsnu16077136,jsnu16077136,,0,4,4,0,12,12,3,0.666667,0.805556,0,13,0.001803,0,0,1,135
mooc1536545048814,mooc1536545048814,,4,1,5,8,2,10,0,0,0,0,3,0.004729,0.25,0.08835,1,62
"莫问mooc65",莫问mooc65,,2,1,3,3,2,5,0,0,0,0,3,0.002024,0.5,0.19052,1,39
"千秋mooc39",千秋mooc39,,1,1,2,2,1,3,3,0.480159,0.488981,0,3,0.002024,0,0.146426,1,107
"师大17级125班201726602004",师大17级125班201726602004,,2,1,3,3,1,4,0,0,0,0,3,0.002024,0.5,0.19052,1,38
"王翠英mooc",王翠英mooc,,1,1,2,1,2,3,1,1,1,2.375,5,0.002024,0,0.146426,1,37
"姜昭辰18110104",姜昭辰18110104,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,35
"龙居士",龙居士,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,34
XenoDj,XenoDj,,0,1,1,0,2,2,2,0.6,0.666667,0,13,0.001803,0,0,1,136
Victorr,Victorr,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,33
ykt1530843209080,ykt1530843209080,,0,1,1,0,2,2,1,1,1,0,3,0.001803,0,0,1,137
"秦子伊",秦子伊,,0,1,1,0,2,2,2,0.6,0.666667,0,13,0.001803,0,0,1,138
Lanpaz,Lanpaz,,1,1,2,1,2,3,1,1,1,2.375,5,0.002024,0,0.146426,1,31
mooc10168754199472133,mooc10168754199472133,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,30
"破茧幻化成蝶mooc27",破茧幻化成蝶mooc27,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,29
"骑月钓星",骑月钓星,,3,1,4,5,1,6,0,0,0,0,12,0.002411,0.333333,0.197095,1,28
"姵榕",姵榕,,1,0,1,2,0,2,0,0,0,0,3,0.002024,0,0.146426,1,27
qhu1540301021,qhu1540301021,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,26
missingmooc109,missingmooc109,,1,3,4,2,4,6,3,0.49187,0.502755,23.8125,12,0.002024,0.166667,0.146426,1,107
mooc39387639354760419,mooc39387639354760419,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,24
"买火车的小女孩",买火车的小女孩,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,23
20研二班张宏,20研二班张宏,,2,0,2,3,0,3,0,0,0,0,3,0.003574,0,0.149914,1,22
"郭和熙201726602017",郭和熙201726602017,,0,1,1,0,1,1,1,1,1,0,3,0.001803,0,0,1,139
