Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,clustering,eigencentrality,componentnumber,strongcompnum
mooc39368658391322664,mooc39368658391322664,,0,2,2,0,35,35,1,1,1,0,13,0.001803,0,0,1,176
JuniorSky,JuniorSky,,26,0,26,49,0,49,0,0,0,0,13,0.021477,0,0.399455,1,19
"原离",原离,,2,2,4,2,6,8,1,1,1,4,13,0.00457,0.083333,0.071495,1,57
E3泛素连接酶,E3泛素连接酶,,0,3,3,0,6,6,1,1,1,0,13,0.001803,0,0,1,177
Anne爱学习耶,Anne爱学习耶,,0,6,6,0,8,8,1,1,1,0,5,0.001803,0.166667,0,1,179
"午夜电台房小布",午夜电台房小布,,0,3,3,0,4,4,1,1,1,0,13,0.001803,0,0,1,180
"韦尔奇1",韦尔奇1,,0,3,3,0,6,6,1,1,1,0,13,0.001803,0,0,1,181
dangelhao163com,dangelhao163com,,2,3,5,2,7,9,1,1,1,3,13,0.002767,0.15,0.038126,1,20
SQ2017生科靳志远170914003,SQ2017生科靳志远170914003,,0,2,2,0,8,8,1,1,1,0,13,0.001803,0,0,1,182
AsOnemooc2,AsOnemooc2,,0,1,1,0,2,2,1,1,1,0,13,0.001803,0,0,1,183
"武生院生物工程张淼",武生院生物工程张淼,,0,1,1,0,2,2,1,1,1,0,13,0.001803,0,0,1,184
mooc42663545366591271,mooc42663545366591271,,0,1,1,0,4,4,1,1,1,0,13,0.001803,0,0,1,185
"郭佳欣16404027",郭佳欣16404027,,0,2,2,0,5,5,3,0.484127,0.494536,0,13,0.001803,0,0,1,186
"不捉老鼠的猫mooc",不捉老鼠的猫mooc,,0,1,1,0,2,2,1,1,1,0,13,0.001803,0,0,1,187
"呆萌小个儿",呆萌小个儿,,0,1,1,0,4,4,1,1,1,0,13,0.001803,0,0,1,188
j-mooker,j-mooker,,0,3,3,0,7,7,2,0.8,0.875,0,13,0.001803,0.333333,0,1,189
"徐涛XuTao",徐涛XuTao,,0,1,1,0,2,2,1,1,1,0,13,0.001803,0,0,1,190
"生技161–包鑫桧",生技161–包鑫桧,,0,1,1,0,2,2,1,1,1,0,13,0.001803,0,0,1,191
"中医老刘007",中医老刘007,,1,2,3,1,4,5,1,1,1,0,5,0.002061,0.333333,0.003488,1,178
Beyondmooc142,Beyondmooc142,,0,2,2,0,4,4,1,1,1,0,5,0.001803,0,0,1,192
"临床811班颜琦湦2185324567",临床811班颜琦湦2185324567,,0,2,2,0,5,5,2,0.75,0.833333,0,13,0.001803,0.5,0,1,193
"今天我也在学习鸭",今天我也在学习鸭,,0,1,1,0,1,1,1,1,1,0,13,0.001803,0,0,1,194
"陆棹欣",陆棹欣,,0,1,1,0,2,2,1,1,1,0,13,0.001803,0,0,1,195
"什么昵称不能被占用",什么昵称不能被占用,,0,1,1,0,4,4,1,1,1,0,13,0.001803,0,0,1,196
"王小容mooc",王小容mooc,,0,1,1,0,2,2,1,1,1,0,13,0.001803,0,0,1,197
mooc43291564347197815,mooc43291564347197815,,0,2,2,0,4,4,1,1,1,0,5,0.001803,0,0,1,198
mooc41542176565288510,mooc41542176565288510,,0,1,1,0,2,2,1,1,1,0,13,0.001803,0,0,1,199
"斐然季",斐然季,,0,1,1,0,2,2,1,1,1,0,13,0.001803,0,0,1,200
"黄中昱",黄中昱,,0,1,1,0,2,2,1,1,1,0,13,0.001803,0,0,1,201
mooc13029209428320885,mooc13029209428320885,,0,1,1,0,2,2,1,1,1,0,13,0.001803,0,0,1,202
mooc1536656050892,mooc1536656050892,,0,1,1,0,2,2,1,1,1,0,13,0.001803,0,0,1,203
"史宇博",史宇博,,1,1,2,1,2,3,1,1,1,1,13,0.003533,0,0.034638,1,11
"烟雨云窈",烟雨云窈,,0,2,2,0,4,4,1,1,1,0,5,0.001803,0,0,1,204
xhyuanc,xhyuanc,,0,1,1,0,2,2,1,1,1,0,13,0.001803,0,0,1,205
frank4869,frank4869,,0,1,1,0,2,2,1,1,1,0,13,0.001803,0,0,1,206
"陈亚房",陈亚房,,0,2,2,0,4,4,1,1,1,0,5,0.001803,0,0,1,207
linfang0524,linfang0524,,0,2,2,0,4,4,1,1,1,0,5,0.001803,0,0,1,208
mooc73004230462064433,mooc73004230462064433,,0,1,1,0,2,2,1,1,1,0,13,0.001803,0,0,1,209
"啦啦啦wjr",啦啦啦wjr,,0,1,1,0,2,2,1,1,1,0,13,0.001803,0,0,1,210
"倒转流年mooc",倒转流年mooc,,0,2,2,0,4,4,1,1,1,0,5,0.001803,0,0,1,211
"黑龙江农垦红局局直二中李春烨",黑龙江农垦红局局直二中李春烨,,0,2,2,0,4,4,1,1,1,0,5,0.001803,0,0,1,212
"爱学习的萌喵酱",爱学习的萌喵酱,,0,2,2,0,2,2,1,1,1,0,13,0.001803,0.5,0,1,213
"丘山水懿",丘山水懿,,0,1,1,0,2,2,1,1,1,0,5,0.001803,0,0,1,214
"杨力mooc3",杨力mooc3,,0,1,1,0,2,2,1,1,1,0,5,0.001803,0,0,1,215
"段居轩",段居轩,,0,1,1,0,2,2,1,1,1,0,5,0.001803,0,0,1,216
mooc1535369060217,mooc1535369060217,,0,1,1,0,2,2,1,1,1,0,5,0.001803,0,0,1,217
"早起的小虫子",早起的小虫子,,0,1,1,0,2,2,1,1,1,0,5,0.001803,0,0,1,218
"大方芝士",大方芝士,,0,1,1,0,2,2,1,1,1,0,5,0.001803,0,0,1,219
"追mooc146",追mooc146,,0,1,1,0,2,2,1,1,1,0,5,0.001803,0,0,1,220
"梁牧和mooc",梁牧和mooc,,0,1,1,0,2,2,1,1,1,0,5,0.001803,0,0,1,221
"黎咲",黎咲,,0,1,1,0,1,1,1,1,1,0,5,0.001803,0,0,1,222
"天水师院生物学科161张红芳",天水师院生物学科161张红芳,,0,1,1,0,2,2,1,1,1,0,5,0.001803,0,0,1,223
"生物1804胡井泓",生物1804胡井泓,,0,1,1,0,2,2,1,1,1,0,5,0.001803,0,0,1,224
"随艺mooc1",随艺mooc1,,0,1,1,0,2,2,1,1,1,0,5,0.001803,0,0,1,225
"魔法少年小污喵",魔法少年小污喵,,0,1,1,0,2,2,1,1,1,0,5,0.001803,0,0,1,226
mooc1536667147456,mooc1536667147456,,0,1,1,0,2,2,1,1,1,0,5,0.001803,0,0,1,227
m188953282903,m188953282903,,0,1,1,0,3,3,1,1,1,0,5,0.001803,0,0,1,228
mooc39945138868308851,mooc39945138868308851,,0,1,1,0,2,2,1,1,1,0,5,0.001803,0,0,1,229
1803114146 樊琳琳,1803114146 樊琳琳,,0,1,1,0,2,2,1,1,1,0,5,0.001803,0,0,1,230
1521503726qqcom,1521503726qqcom,,0,1,1,0,2,2,1,1,1,0,5,0.001803,0,0,1,231
